type,best_model,best_cross_val_score,recall,precision,accuracy,run_time,train_test,symbol,cum_rtn,annualized_rtn,sharpe_ratio,performed_on,event_st_date,event_en_date
random_forest,"RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',
                       max_depth=9, max_features=1.0, n_estimators=250,
                       n_jobs=-1, random_state=42)",0.17121135693064113,0.13963991785272956,0.22126912145409414,0.5913721135170144,1.4101464748382568,Train,GLP,0.0,0.0,0.0,2023-04-07 21:58:56.776670,2016-08-09 00:00:00-04:00,2022-05-10 00:00:00-04:00
random_forest,"RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',
                       max_depth=9, max_features=1.0, n_estimators=250,
                       n_jobs=-1, random_state=42)",0.00941251951814244,0.005997933336343528,0.021853688729961823,0.4548596818544899,0.022999286651611328,Test,GLP,-0.08208743194462009,-0.1067280764664198,-0.57,2023-04-07 21:58:56.814674,2022-05-16 00:00:00-04:00,2023-02-17 00:00:00-05:00
standard_bagging_decision_tree,"BaggingClassifier(estimator=DecisionTreeClassifier(class_weight='balanced',
                                                   criterion='entropy',
                                                   max_depth=9,
                                                   random_state=42),
                  n_estimators=250, n_jobs=-1, random_state=42)",0.15986534807194577,0.13963991785272956,0.1906098459728693,0.5693762876752106,0.5073282718658447,Train,GLP,0.0,0.0,0.0,2023-04-07 21:59:05.059068,2016-08-09 00:00:00-04:00,2022-05-10 00:00:00-04:00
standard_bagging_decision_tree,"BaggingClassifier(estimator=DecisionTreeClassifier(class_weight='balanced',
                                                   criterion='entropy',
                                                   max_depth=9,
                                                   random_state=42),
                  n_estimators=250, n_jobs=-1, random_state=42)",0.00941251951814244,0.005997933336343528,0.021853688729961823,0.4548596818544899,0.035536766052246094,Test,GLP,-0.08208743194462009,-0.1067280764664198,-0.57,2023-04-07 21:59:05.107466,2022-05-16 00:00:00-04:00,2023-02-17 00:00:00-05:00
sequential_bootstrapping_decision_tree,"SequentiallyBootstrappedBaggingClassifier(estimator=DecisionTreeClassifier(class_weight='balanced',
                                                                           criterion='entropy',
                                                                           max_depth=9,
                                                                           random_state=42),
                                          n_estimators=250, n_jobs=-1,
                                          price_bars=time
2016-08-09 00:00:00-04:00    15.36
2016-09-27 00:00:00-04:00    16.35
2016-11-17 00:00:00-05:00    16.75
2016-11-30 00:00:00-05:00    15.80
2016-12-22 00:00:00-05:00    17.80
                             ...  
2022-03-18 00...
2016-11-30 00:00:00-05:00   2016-12-22 00:00:00-05:00
2016-12-22 00:00:00-05:00   2016-12-30 00:00:00-05:00
                                       ...           
2022-03-18 00:00:00-04:00   2022-03-24 00:00:00-04:00
2022-03-24 00:00:00-04:00   2022-03-30 00:00:00-04:00
2022-03-30 00:00:00-04:00   2022-04-25 00:00:00-04:00
2022-04-25 00:00:00-04:00   2022-05-05 00:00:00-04:00
2022-05-10 00:00:00-04:00   2022-05-16 00:00:00-04:00
Name: t1, Length: 95, dtype: datetime64[ns, America/New_York])",0.16720596602888907,0.14259135785198712,0.2029183697956765,0.5706341488554092,0.8113672733306885,Train,GLP,0.0,0.0,0.0,2023-04-07 21:59:17.460436,2016-08-09 00:00:00-04:00,2022-05-10 00:00:00-04:00
sequential_bootstrapping_decision_tree,"SequentiallyBootstrappedBaggingClassifier(estimator=DecisionTreeClassifier(class_weight='balanced',
                                                                           criterion='entropy',
                                                                           max_depth=9,
                                                                           random_state=42),
                                          n_estimators=250, n_jobs=-1,
                                          price_bars=time
2016-08-09 00:00:00-04:00    15.36
2016-09-27 00:00:00-04:00    16.35
2016-11-17 00:00:00-05:00    16.75
2016-11-30 00:00:00-05:00    15.80
2016-12-22 00:00:00-05:00    17.80
                             ...  
2022-03-18 00...
2016-11-30 00:00:00-05:00   2016-12-22 00:00:00-05:00
2016-12-22 00:00:00-05:00   2016-12-30 00:00:00-05:00
                                       ...           
2022-03-18 00:00:00-04:00   2022-03-24 00:00:00-04:00
2022-03-24 00:00:00-04:00   2022-03-30 00:00:00-04:00
2022-03-30 00:00:00-04:00   2022-04-25 00:00:00-04:00
2022-04-25 00:00:00-04:00   2022-05-05 00:00:00-04:00
2022-05-10 00:00:00-04:00   2022-05-16 00:00:00-04:00
Name: t1, Length: 95, dtype: datetime64[ns, America/New_York])",0.38779475909197747,0.25406625052917475,0.8187419741089704,0.6536128202895772,0.048902273178100586,Test,GLP,0.11870594231749432,0.15929107037591295,0.49,2023-04-07 21:59:17.511338,2022-05-16 00:00:00-04:00,2023-02-17 00:00:00-05:00
SVC,"SVC(C=8000, class_weight='balanced', gamma=1e-05, kernel='linear',
    random_state=42)",0.1811178941194683,0.17902266881773019,0.2017457876023098,0.5195592684893917,6.422533750534058,Train,GLP,0.0,0.0,0.0,2023-04-07 21:59:47.524265,2016-08-09 00:00:00-04:00,2022-05-10 00:00:00-04:00
SVC,"SVC(C=8000, class_weight='balanced', gamma=1e-05, kernel='linear',
    random_state=42)",0.5515524332283586,0.5478750804367681,0.5552794845867266,0.6152964993956372,0.0009989738464355469,Test,GLP,0.13496633724037133,0.1815456292746498,0.32,2023-04-07 21:59:47.540126,2022-05-16 00:00:00-04:00,2023-02-17 00:00:00-05:00
sequential_bootstrapping_SVC,"SequentiallyBootstrappedBaggingClassifier(estimator=SVC(C=8000,
                                                        class_weight='balanced',
                                                        gamma=1e-05,
                                                        kernel='linear',
                                                        random_state=42),
                                          n_jobs=-1,
                                          price_bars=time
2016-08-09 00:00:00-04:00    15.36
2016-09-27 00:00:00-04:00    16.35
2016-11-17 00:00:00-05:00    16.75
2016-11-30 00:00:00-05:00    15.80
2016-12-22 00:00:00-05:00    17.80
                             ...  
2022-03-18 00:00:00-04:00    26.68
2022-03-24 00:00:...
2016-11-30 00:00:00-05:00   2016-12-22 00:00:00-05:00
2016-12-22 00:00:00-05:00   2016-12-30 00:00:00-05:00
                                       ...           
2022-03-18 00:00:00-04:00   2022-03-24 00:00:00-04:00
2022-03-24 00:00:00-04:00   2022-03-30 00:00:00-04:00
2022-03-30 00:00:00-04:00   2022-04-25 00:00:00-04:00
2022-04-25 00:00:00-04:00   2022-05-05 00:00:00-04:00
2022-05-10 00:00:00-04:00   2022-05-16 00:00:00-04:00
Name: t1, Length: 95, dtype: datetime64[ns, America/New_York])",0.24737185802545883,0.232232999038772,0.2714716642317865,0.5836352743143247,4.16873574256897,Train,GLP,0.0,0.0,0.0,2023-04-07 22:00:10.752518,2016-08-09 00:00:00-04:00,2022-05-10 00:00:00-04:00
sequential_bootstrapping_SVC,"SequentiallyBootstrappedBaggingClassifier(estimator=SVC(C=8000,
                                                        class_weight='balanced',
                                                        gamma=1e-05,
                                                        kernel='linear',
                                                        random_state=42),
                                          n_jobs=-1,
                                          price_bars=time
2016-08-09 00:00:00-04:00    15.36
2016-09-27 00:00:00-04:00    16.35
2016-11-17 00:00:00-05:00    16.75
2016-11-30 00:00:00-05:00    15.80
2016-12-22 00:00:00-05:00    17.80
                             ...  
2022-03-18 00:00:00-04:00    26.68
2022-03-24 00:00:...
2016-11-30 00:00:00-05:00   2016-12-22 00:00:00-05:00
2016-12-22 00:00:00-05:00   2016-12-30 00:00:00-05:00
                                       ...           
2022-03-18 00:00:00-04:00   2022-03-24 00:00:00-04:00
2022-03-24 00:00:00-04:00   2022-03-30 00:00:00-04:00
2022-03-30 00:00:00-04:00   2022-04-25 00:00:00-04:00
2022-04-25 00:00:00-04:00   2022-05-05 00:00:00-04:00
2022-05-10 00:00:00-04:00   2022-05-16 00:00:00-04:00
Name: t1, Length: 95, dtype: datetime64[ns, America/New_York])",0.27761086802309176,0.25406625052917475,0.30596500387444714,0.4290455770380586,0.008917808532714844,Test,GLP,-0.13717607909734164,-0.1766863355028504,-0.71,2023-04-07 22:00:10.776340,2022-05-16 00:00:00-04:00,2023-02-17 00:00:00-05:00
